motor,transformacion,configuracion,repeticion,tiempo_segundos
pandas,T1,pandas,1,0.188716700
pandas,T1,pandas,2,0.211943500
pandas,T1,pandas,3,0.253855800
pandas,T1,pandas,4,0.238652300
pandas,T1,pandas,5,0.188396300
pandas,T2,pandas,1,0.101857100
pandas,T2,pandas,2,0.170360500
pandas,T2,pandas,3,0.079033100
pandas,T2,pandas,4,0.117135000
pandas,T2,pandas,5,0.139442000
pandas,T3,pandas,1,0.395509800
pandas,T3,pandas,2,0.288858300
pandas,T3,pandas,3,0.225146300
pandas,T3,pandas,4,0.221712800
pandas,T3,pandas,5,0.320112900
pandas,T4,pandas,1,2.488212100
pandas,T4,pandas,2,2.265858700
pandas,T4,pandas,3,2.357471800
pandas,T4,pandas,4,1.810319100
pandas,T4,pandas,5,1.185526000
pandas,T5,pandas,1,1.548768200
pandas,T5,pandas,2,1.525212900
pandas,T5,pandas,3,1.497477400
pandas,T5,pandas,4,1.513920500
pandas,T5,pandas,5,1.535683300
pyspark,T1,executors[4],1,0.403388400
pyspark,T1,executors[4],2,0.535966000
pyspark,T1,executors[4],3,0.345663900
pyspark,T1,executors[4],4,0.266900300
pyspark,T1,executors[4],5,0.224146800
pyspark,T2,executors[4],1,1.235160500
pyspark,T2,executors[4],2,0.657849200
pyspark,T2,executors[4],3,0.908385000
pyspark,T2,executors[4],4,0.645677200
pyspark,T2,executors[4],5,0.687490800
pyspark,T3,executors[4],1,0.752376500
pyspark,T3,executors[4],2,0.874353300
pyspark,T3,executors[4],3,0.865736300
pyspark,T3,executors[4],4,0.720715000
pyspark,T3,executors[4],5,0.958302000
pyspark,T4,executors[4],1,1.563641200
pyspark,T4,executors[4],2,1.981876800
pyspark,T4,executors[4],3,2.053432000
pyspark,T4,executors[4],4,1.810005300
pyspark,T4,executors[4],5,1.520150200
pyspark,T5,executors[4],1,1.222750100
pyspark,T5,executors[4],2,1.281468600
pyspark,T5,executors[4],3,1.382739700
pyspark,T5,executors[4],4,1.356484800
pyspark,T5,executors[4],5,1.424494000
pyspark,T3,executors[1],1,2.011493500
pyspark,T3,executors[1],2,1.361502900
pyspark,T3,executors[1],3,1.219839100
pyspark,T3,executors[1],4,1.433871400
pyspark,T3,executors[1],5,1.294121400
pyspark,T3,executors[2],1,0.933284100
pyspark,T3,executors[2],2,0.655432600
pyspark,T3,executors[2],3,0.704658200
pyspark,T3,executors[2],4,0.708496300
pyspark,T3,executors[2],5,0.787001000
pyspark,T5,executors[1],1,1.452706700
pyspark,T5,executors[1],2,1.591153100
pyspark,T5,executors[1],3,1.507588400
pyspark,T5,executors[1],4,1.584563000
pyspark,T5,executors[1],5,1.563247100
pyspark,T5,executors[2],1,1.629179400
pyspark,T5,executors[2],2,1.173254300
pyspark,T5,executors[2],3,1.003831600
pyspark,T5,executors[2],4,1.021736700
pyspark,T5,executors[2],5,1.203588800
pyspark,T2,executors[1],1,1.112683900
pyspark,T2,executors[1],2,0.866801100
pyspark,T2,executors[1],3,0.812670100
pyspark,T2,executors[1],4,1.084982700
pyspark,T2,executors[1],5,1.712341600
pyspark,T2,executors[2],1,1.482993600
pyspark,T2,executors[2],2,1.014149800
pyspark,T2,executors[2],3,0.728155600
pyspark,T2,executors[2],4,0.995433900
pyspark,T2,executors[2],5,1.327590500
pyspark,T1,executors[1],1,0.318978900
pyspark,T1,executors[1],2,0.313484600
pyspark,T1,executors[1],3,0.329204400
pyspark,T1,executors[1],4,0.293291700
pyspark,T1,executors[1],5,0.291662000
pyspark,T1,executors[2],1,0.862484300
pyspark,T1,executors[2],2,0.375832500
pyspark,T1,executors[2],3,1.171479900
pyspark,T1,executors[2],4,0.275453900
pyspark,T1,executors[2],5,1.490659200
